Product ID,Description,"Potential Build
Qty",Quantity,Component Product ID,Description,"Component product 
 Remaining",Component note
B1014K,ANNISTON - Grey Fabric Bed with Storage - King,18
,,,1,B1014K-1/4,"ANNISTON Fabric Bed with Storage(Grey,King) - HEADBOARD",20,
,,,1,B1014K-2/4,"ANNISTON Fabric Bed with Storage(Grey,King) - SIDE RAILS",18,
,,,1,B1014K-3/4,"ANNISTON Fabric Bed with Storage(Grey,King) - FOOTBOARD+SLATS",23,
,,,1,B1014K-4/4,"ANNISTON Fabric Bed with Storage(Grey,King) - DRAWERS",19,
B1014Q,ANNISTON - Grey Fabric Bed with Storage - Queen,14
,,,1,B1014Q-1/4,"ANNISTON Fabric Bed with Storage(Grey,Queen) - HEADBOARD",16,
,,,1,B1014Q-2/4,"ANNISTON Fabric Bed with Storage(Grey,Queen) - SIDE RAILS",14,
,,,1,B1014Q-3/4,"ANNISTON Fabric Bed with Storage(Grey,Queen) - FOOTBOARD+SLATS",15,
,,,1,B1014Q-4/4,"ANNISTON Fabric Bed with Storage(Grey,Queen) - DRAWERS",16,
B1017K,MOLLY - Light Grey Fabric Bed - king,57
,,,1,B1017K-1/3,"Molly Fabric Bed(Light Grey,King) - HEADBOARD",63,
,,,1,B1017K-2/3,"Molly Fabric Bed(Light Grey,King) - SIDE RAILS",57,
,,,1,B1017K-3/3,"Molly Fabric Bed(Light Grey,King) - FOOTBOARD + SLATS",58,
B1017Q,MOLLY - Light Grey Fabric Bed - Queen,15
,,,1,B1017Q-1/3,"Molly Fabric Bed(Light Grey,Queen) - HEADBOARD",17,
,,,1,B1017Q-2/3,"Molly Fabric Bed(Light Grey,Queen) - SIDE RAILS",17,
,,,1,B1017Q-3/3,"Molly Fabric Bed(Light Grey,Queen) - FOOTBOARD + SLATS",15,
B1018K,"Molly Fabric Bed(Dark Grey,King)",2
,,,1,B1018K-1/3,"Molly Fabric Bed(Dark Grey,King) - HEADBOARD",2,
,,,1,B1018K-2/3,"Molly Fabric Bed(Dark Grey,King) - FOOTBOARD+SLATS",2,
,,,1,B1018K-3/3,"Molly Fabric Bed(Dark Grey,King) - SIDE RAILS",2,
B1018Q,"Molly Fabric Bed(Dark Grey,Queen)",2
,,,1,B1018Q-1/3,"Molly Fabric Bed(Dark Grey,Queen) - HEADBOARD",2,
,,,1,B1018Q-2/3,"Molly Fabric Bed(Dark Grey,Queen) - FOOTBOARD+SLATS",4,
,,,1,B1018Q-3/3,"Molly Fabric Bed(Dark Grey,Queen) - SIDE RAILS",4,
B1019K,MAY - Dark Grey Fabric Bed - King,1
,,,1,B1019K-1/3,"May Fabric Bed(Dark Grey,King) - HEADBOARD",1,
,,,1,B1019K-2/3,"May Fabric Bed(Dark Grey,King) - SIDE RAILS",1,
,,,1,B1019K-3/3,"May Fabric Bed(Dark Grey,King) - FOOTBOARD + SLATS",1,
B1019Q,MAY - Dark Grey Fabric Bed - Queen,3
,,,1,B1019Q-1/3,"May Fabric Bed(Dark Grey,Queen) - HEADBOARD",5,
,,,1,B1019Q-2/3,"May Fabric Bed(Dark Grey,Queen) - SIDE RAILS",3,
,,,1,B1019Q-3/3,"May Fabric Bed(Dark Grey,Queen) - FOOTBOARD + SLATS",3,
B1020K,"May Fabric Bed(Farmhouse Cream,King)",25
,,,1,B1020K-1/3,"May Fabric Bed(Farmhouse Cream,King) - HEADBOARD",25,
,,,1,B1020K-2/3,"May Fabric Bed(Farmhouse Cream,King) - SIDE RAILS",25,
,,,1,B1020K-3/3,"May Fabric Bed(Farmhouse Cream,King) - FOOTBOARD + SLATS",25,
B1020Q,"May Fabric Bed(Farmhouse Cream,Queen)",25
,,,1,B1020Q-1/3,"May Fabric Bed(Farmhouse Cream,Queen) - HEADBOARD",25,
,,,1,B1020Q-2/3,"May Fabric Bed(Farmhouse Cream,Queen) - SIDE RAILS",25,
,,,1,B1020Q-3/3,"May Fabric Bed(Farmhouse Cream,Queen) - FOOTBOARD + SLATS",25,
B1021K,"Maple Fabric Bed(Light Grey,King)",27
,,,1,B1021K-1/3,"Maple Fabric Bed(Light Grey,King) - HEADBOARD",27,
,,,1,B1021K-2/3,"Maple Fabric Bed(Light Grey,King) - SIDE RAILS",27,
,,,1,B1021K-3/3,"Maple Fabric Bed(Light Grey,King) - FOOTBOARD+SLATS",27,
B1021Q,"Maple Fabric Bed(Light Grey,Queen)",17
,,,1,B1021Q-1/3,"Maple Fabric Bed(Light Grey,Queen) - HEADBOARD",17,
,,,1,B1021Q-2/3,"Maple Fabric Bed(Light Grey,Queen) - SIDE RAILS",19,
,,,1,B1021Q-3/3,"Maple Fabric Bed(Light Grey,Queen) - FOOTBOARD+SLATS",17,
B1022K,MAPLE - Dark Blue Fabric Bed - King,2
,,,1,B1022K-1/3,"Maple Fabric Bed(Dark Blue,King) - HEADBOARD",3,
,,,1,B1022K-2/3,"Maple Fabric Bed(Dark Blue,King) - SIDE RAILS",3,
,,,1,B1022K-3/3,"Maple Fabric Bed(Dark Blue,King) - FOOTBOARD+SLATS",2,
B1022Q,MAPLE - Dark Blue Fabric Bed - Queen,5
,,,1,B1022Q-1/3,"Maple Fabric Bed(Dark Blue,Queen) - HEADBOARD",6,
,,,1,B1022Q-2/3,"Maple Fabric Bed(Dark Blue,Queen) - SIDE RAILS",5,
,,,1,B1022Q-3/3,"Maple Fabric Bed(Dark Blue,Queen) - FOOTBOARD+SLATS",5,
B1023K,MARIA - Light Grey Fabric Bed - King,12
,,,1,B1023K-1/2,"Maria Fabric Bed(Light Grey,King) - HEADBOARD + FOOTBOARD",12,
,,,1,B1023K-2/2,"Maria Fabric Bed(Light Grey,King) - SIDE RAILS",12,
B1023Q,MARIA - Light Grey Fabric Bed - Queen,6
,,,1,B1023Q-1/2,"Maria Fabric Bed(Light Grey,Queen) - HEADBOARD + FOOTBOARD",15,
,,,1,B1023Q-2/2,"Maria Fabric Bed(Light Grey,Queen) - SIDE RAILS",6,
B1025K,"Clara Fabric Bed(Light Grey,King)",25
,,,1,B1025K-1/3,"Clara Fabric Bed(Light Grey,King) - HEADBOARD",25,
,,,1,B1025K-2/3,"Clara Fabric Bed(Light Grey,King) - SIDE RAILS",30,
,,,1,B1025K-3/3,"Clara Fabric Bed(Light Grey,King) - FOOTBOARD + SLATS",29,
B1025Q,CLARA - Light Grey Fabric Bed - Queen,6
,,,1,B1025Q-1/3,"Clara Fabric Bed(Light Grey,Queen) - HEADBOARD",6,
,,,1,B1025Q-2/3,"Clara Fabric Bed(Light Grey,Queen) - SIDE RAILS",10,
,,,1,B1025Q-3/3,"Clara Fabric Bed(Light Grey,Queen) - FOOTBOARD + SLATS",11,
B1026K,CLARA - Dark Grey Fabric Bed - King,2
,,,1,B1026K-1/3,"Clara Fabric Bed(Dark Grey,King) - HEADBOARD",2,
,,,1,B1026K-2/3,"Clara Fabric Bed(Dark Grey,King) - SIDE RAILS",3,
,,,1,B1026K-3/3,"Clara Fabric Bed(Dark Grey,King) - FOOTBOARD + SLATS",3,
B1026Q,CLARA - Dark Grey Fabric Bed - Queen,
,,,1,B1026Q-1/3,"Clara Fabric Bed(Dark Grey,Queen) - HEADBOARD",1,
,,,1,B1026Q-2/3,"Clara Fabric Bed(Dark Grey,Queen) - SIDE RAILS",1,
,,,1,B1026Q-3/3,"Clara Fabric Bed(Dark Grey,Queen) - FOOTBOARD + SLATS",0,
B1027K,CLARA - Dark Blue Fabric Bed - King,
,,,1,B1027K-1/3,"Clara Fabric Bed(Dark Blue,King) - HEADBOARD",0,
,,,1,B1027K-2/3,"Clara Fabric Bed(Dark Blue,King) - SIDE RAILS",0,
