Order date,Order ID,Product ID,Description,Quantity,Container Number,Product units received,Estimated receive date,Remaining after reservations including BOM units WZ0002,Remaining after reservations including BOM units WZ0001
3/11/2021,100359,T5653,KODA Suar Root Wood Console(151-175),50,FFAU1396748,6,10/1/2021,5,2
3/11/2021,100359,T5687,KODA Suar Root Wood Console(176-200),50,FFAU1396748,0,10/1/2021,1,1
3/11/2021,100359,T5688,KODA Suar Root Wood Console(201-250),50,FFAU1396748,3,10/1/2021,3,1
3/11/2021,100359,T5690,KODA Suar Root Wood Night Table,50,FFAU1396748,20,10/1/2021,18,1
3/11/2021,100359,T5937,KALANI Suar Root Coffee Table (120cm-152cm),50,FFAU1396748,0,10/1/2021,0,0
3/11/2021,100359,X2016,"Live Edge Suar Table Top(180cm,Natural)",50,FFAU1396748,0,10/1/2021,11,13
3/11/2021,100359,X2018,"Live Edge Suar Table Top(210cm,Natural)",50,FFAU1396748,70,10/1/2021,47,19
3/11/2021,100359,X2044,"Live Edge Suar Bench Top(145cm,Natural)",50,FFAU1396748,0,10/1/2021,9,12
3/11/2021,100359,X2045,"Live Edge Suar Bench Top(205cm,Natural)",50,FFAU1396748,0,10/1/2021,9,2
3/11/2021,100359,X2114,"Suar Straight Cut Table Top(180cm,Natural)",50,FFAU1396748,20,10/1/2021,15,5
3/11/2021,100359,X2119,"Live Edge Suar Table Top(160cm,Natural)",50,FFAU1396748,0,10/1/2021,48,17
3/11/2021,100362,T5809,AMINA Acacia Side Table(Small),50,,0,8/20/2021,0,0
3/11/2021,100362,T5812,LAYLA Rosewood Sideboard(Natural),50,,0,8/20/2021,-1,0
3/11/2021,100362,T5814,LAYLA Rosewood Coffee Table(Natural),50,,0,8/20/2021,0,0
3/11/2021,100362,T5818,IDRISSA Metal Bookcase,50,,0,8/20/2021,1,0
3/11/2021,100362,T5819,PIPER Acacia Dining Table(160cm),50,,0,8/20/2021,-1,1
3/11/2021,100362,T5820,PIPER Acacia Dining Bench(145cm),50,,0,8/20/2021,0,0
3/11/2021,100362,T5823,PIPER Acacia Side Table,50,,0,8/20/2021,0,0
3/11/2021,100362,T5936-1/2,RENNES Extendable Acacia Table (Natural | 120cm-210cm) - Tabletop,50,,0,8/20/2021,0,0
3/11/2021,100362,T5936-2/2,RENNES Extendable Acacia Table (Natural | 120cm-210cm) - Legs,50,,0,8/20/2021,0,0
