Order date,Order ID,Product ID,Description,Quantity,Container Number,Product units received,Estimated receive date,Remaining after reservations including BOM units WZ0002,Remaining after reservations including BOM units WZ0001
3/11/2021,100359,T5653,KODA Suar Root Wood Console (151-175 cm.),8,FFAU1396748,6,12-Nov-21,1,2
3/11/2021,100359,T5687,KODA Suar Root Wood Console (176-200),3,FFAU1396748,2,12-Nov-21,1,1
3/11/2021,100359,T5688,KODA Suar Root Wood Console (201-250),4,FFAU1396748,3,12-Nov-21,3,1
3/11/2021,100359,T5690,"KODA Suar Root Wood Night Stand, 45-60x36x60 cm.",25,FFAU1396748,20,12-Nov-21,0,-2
3/11/2021,100359,T5937,KALANI Suar Root Coffee Table (120cm-152cm),3,FFAU1396748,0,12-Nov-21,0,0
3/11/2021,100359,X2016,"Suar Live Edge Table Top (180 cm.,Natural).",20,FFAU1396748,25,12-Nov-21,16,1
3/11/2021,100359,X2018,"Suar Live Edge Table Top (210 cm.,Natural).",20,FFAU1396748,70,12-Nov-21,17,1
3/11/2021,100359,X2044,"Suar Live Edge Bench Top (145 cm.,Natural).",20,FFAU1396748,30,12-Nov-21,2,7
3/11/2021,100359,X2045,"Suar Live Edge Bench Top (205 cm.,Natural).",20,FFAU1396748,60,12-Nov-21,26,11
3/11/2021,100359,X2114,Suar Straight Cut table (180 cm.Natural),20,FFAU1396748,20,12-Nov-21,7,2
3/11/2021,100362,T5808,AMINA Acacia Side Table(Large),20,MSMU5258550,0,11-Dec-21,5,2
3/11/2021,100362,T5809,AMINA Acacia Side Table(Small),20,MSMU5258550,24,11-Dec-21,16,7
3/11/2021,100362,T5812,LAYLA Rosewood Sideboard(Natural),20,MSMU5258550,8,11-Dec-21,2,2
3/11/2021,100362,T5814,LAYLA Rosewood Coffee Table(Natural),20,MSMU5258550,6,11-Dec-21,4,2
3/11/2021,100362,T5815,IDRISSA Acacia Dining Table(Brown),20,MSMU5258550,0,11-Dec-21,3,2
3/11/2021,100362,T5816,IDRISSA Acacia Dining Bench(Brown),20,MSMU5258550,0,11-Dec-21,4,2
3/11/2021,100362,T5818,IDRISSA Metal Bookcase,20,MSMU5258550,6,11-Dec-21,2,5
3/11/2021,100362,T5819,PIPER Acacia Dining Table(160cm),20,MSMU5258550,10,11-Dec-21,4,4
3/11/2021,100362,T5820,PIPER Acacia Dining Bench(145cm),20,MSMU5258550,24,11-Dec-21,17,5
3/11/2021,100362,T5822,PIPER Acacia Sideboard,20,MSMU5258550,0,11-Dec-21,5,2
3/11/2021,100362,T5823,PIPER Acacia Side Table,20,MSMU5258550,10,11-Dec-21,6,3
3/11/2021,100362,T5824,PIPER Acacia TV Units,20,MSMU5258550,0,11-Dec-21,12,5
3/11/2021,100362,T5825,PAISLEY Rosewood Dining Table,20,MSMU5258550,0,11-Dec-21,4,4
3/11/2021,100362,T5827,IAN Rosewood Table with Wooden Plank Legs(195cm),20,MSMU5258550,0,11-Dec-21,5,2
