Order date,Order ID,Product ID,Description,Quantity,Container Number,Product units received,Estimated receive date,Remaining after reservations including BOM units WZ0002,Remaining after reservations including BOM units WZ0001
3/11/2021,100359,T5653,KODA Suar Root Wood Console (151-175 cm.),8,FFAU1396748,6,"November 12, 2021",1,2
3/11/2021,100359,T5687,KODA Suar Root Wood Console (176-200),3,FFAU1396748,2,"November 12, 2021",1,1
3/11/2021,100359,T5688,KODA Suar Root Wood Console (201-250),4,FFAU1396748,3,"November 12, 2021",3,1
3/11/2021,100359,T5690,"KODA Suar Root Wood Night Stand, 45-60x36x60 cm.",25,FFAU1396748,20,"November 12, 2021",0,-2
3/11/2021,100359,T5937,KALANI Suar Root Coffee Table (120cm-152cm),3,FFAU1396748,0,"November 12, 2021",0,0
3/11/2021,100359,X2016,"Suar Live Edge Table Top (180 cm.,Natural).",30,FFAU1396748,25,"November 12, 2021",16,1
3/11/2021,100359,X2018,"Suar Live Edge Table Top (210 cm.,Natural).",80,FFAU1396748,70,"November 12, 2021",17,1
3/11/2021,100359,X2044,"Suar Live Edge Bench Top (145 cm.,Natural).",40,FFAU1396748,30,"November 12, 2021",2,7
3/11/2021,100359,X2045,"Suar Live Edge Bench Top (205 cm.,Natural).",70,FFAU1396748,60,"November 12, 2021",26,11
3/11/2021,100359,X2114,Suar Straight Cut table (180 cm.Natural),25,FFAU1396748,20,"November 12, 2021",7,2
3/11/2021,100362,T5808,AMINA Acacia Side Table(Large),15,MSMU5258550,0,"December 11, 2021",5,2
3/11/2021,100362,T5809,AMINA Acacia Side Table(Small),24,MSMU5258550,24,"December 11, 2021",16,7
3/11/2021,100362,T5812,LAYLA Rosewood Sideboard(Natural),8,MSMU5258550,8,"December 11, 2021",2,2
3/11/2021,100362,T5814,LAYLA Rosewood Coffee Table(Natural),6,MSMU5258550,6,"December 11, 2021",4,2
3/11/2021,100362,T5815,IDRISSA Acacia Dining Table(Brown),10,MSMU5258550,0,"December 11, 2021",3,2
3/11/2021,100362,T5816,IDRISSA Acacia Dining Bench(Brown),10,MSMU5258550,0,"December 11, 2021",4,2
3/11/2021,100362,T5818,IDRISSA Metal Bookcase,6,MSMU5258550,6,"December 11, 2021",2,5
3/11/2021,100362,T5819,PIPER Acacia Dining Table(160cm),12,MSMU5258550,10,"December 11, 2021",4,4
3/11/2021,100362,T5820,PIPER Acacia Dining Bench(145cm),24,MSMU5258550,24,"December 11, 2021",17,5
3/11/2021,100362,T5822,PIPER Acacia Sideboard,8,MSMU5258550,0,"December 11, 2021",5,2
3/11/2021,100362,T5823,PIPER Acacia Side Table,25,MSMU5258550,10,"December 11, 2021",6,3
3/11/2021,100362,T5824,PIPER Acacia TV Units,18,MSMU5258550,0,"December 11, 2021",12,5
3/11/2021,100362,T5825,PAISLEY Rosewood Dining Table,8,MSMU5258550,0,"December 11, 2021",4,4
3/11/2021,100362,T5827,IAN Rosewood Table with Wooden Plank Legs(195cm),8,MSMU5258550,0,"December 11, 2021",5,2
3/11/2021,100362,T5936-1/2,RENNES Extendable Acacia Table (Natural 120cm-210cm) - Tabletop,35,MSMU5258550,0,"December 11, 2021",0,0
3/11/2021,100362,T5936-2/2,RENNES Extendable Acacia Table (Natural 120cm-210cm) - Legs,35,MSMU5258550,0,"December 11, 2021",0,0
3/11/2021,100362,X2118,Rosewood Live Edge Dining Table Top(195cm),40,MSMU5258550,30,"December 11, 2021",19,8
3/15/2021,100371,X1100,"Acacia Live Edge Bench Top(145cm,Natural)",80,CRSU9165693,80,"October 17, 2021",124,30
3/15/2021,100371,X1138,"Acacia Live Edge Bench Top(205cm,Natural)",2,CRSU9165693,,"October 17, 2021",34,5
3/15/2021,100371,X1138,"Acacia Live Edge Bench Top(205cm,Natural)",20,CRSU9165693,22,"October 17, 2021",34,5
3/15/2021,100371,X2001,"Acacia Live Edge Dining Table Top(180cm,Natural)",60,CRSU9165693,60,"October 17, 2021",37,8
3/15/2021,100371,X2003,"Acacia Straight Table Top(180cm,Natural)",30,CRSU9165693,30,"October 17, 2021",44,12
3/15/2021,100371,X2022,"Acacia Live Edge Table Top(150cm,Natural)",60,CRSU9165693,60,"October 17, 2021",75,21
3/15/2021,100371,X2030,"Acacia Straight Table Top(210cm,Natural)",13,CRSU9165693,13,"October 17, 2021",51,6
3/15/2021,100371,X2034,"Acacia Live Edge Table top(180cm,Honey)",30,CRSU9165693,30,"October 17, 2021",21,7
3/15/2021,100371,X2036,"Acacia Live Edge Table top(210cm,Honey)",20,CRSU9165693,20,"October 17, 2021",45,8
3/15/2021,100371,X2040,"Acacia Live Edge Bench Top(145cm,Honey)",20,CRSU9165693,20,"October 17, 2021",25,8
3/15/2021,100371,X2049,"Acacia Live Edge Table top(150cm,Honey)",10,CRSU9165693,10,"October 17, 2021",27,11
4/5/2021,100457,T1653,CALEB Vintage Leather Armchair(Brown),46,TEMU8182761,46,"July 1, 2021",115,34
4/5/2021,100457,T1654,CALEB Vintage Leather Armchair(Black),70,TEMU8182761,70,"July 1, 2021",167,45
4/5/2021,100457,T1655,CAL Leather Chair(Brown),54,TEMU8182761,54,"July 1, 2021",161,27
4/5/2021,100457,T1656,CAL Leather Chair(Black),68,TEMU8182761,68,"July 1, 2021",155,17
4/5/2021,100457,T5465,"CAL Leather Counter Stool(65cm,Black)",40,TEMU8182761,40,"July 1, 2021",117,4
4/5/2021,100457,T5680,Bali Dining Chair(Blue),40,TEMU8182761,38,"July 1, 2021",43,18
4/5/2021,100457,T5681,Bali Dining Chair(Green),32,TEMU8182761,34,"July 1, 2021",44,91
4/5/2021,100457,T5749,PAISLEY Leather Side Chair(Black),48,TEMU8182761,48,"July 1, 2021",0,1
4/5/2021,100457,T5759,"Bali Fabric Counter Stool(65cm,Blue)",30,TEMU8182761,30,"July 1, 2021",29,-3
4/5/2021,100457,T5761,"Bali Fabric Counter Stool(65cm,Green)",20,TEMU8182761,20,"July 1, 2021",26,8
4/5/2021,100458,T1653,CALEB Vintage Leather Armchair(Brown),74,MSMU8724945,0,"October 15, 2021",115,34
4/5/2021,100458,T1655,CAL Leather Chair(Brown),58,MSMU8724945,0,"October 15, 2021",161,27
4/5/2021,100458,T1656,CAL Leather Chair(Black),54,MSMU8724945,0,"October 15, 2021",155,17
