ParentID,ParentDesc,ProductID,OrderID,Destination,Desc,Quantity,PreorderDateOnline,EstimateDate,ContainerNum,UnitReceived,LifeCycle,Description,Remaining after reservations including BOM units WZ0002,Montreal ATS,Remaining after reservations including BOM units WZ0003,TotalATS
B1014Q,"ANNISTON Fabric Bed with Storage(Grey,Queen)",B1014Q-1/4,100659,WZ0002,"ANNISTON Fabric Bed with Storage(Grey,Queen) - HEADBOARD",20.0,2022-3-15,2022-03-15,,0.0,NOOS,,,,,
B1014Q,"ANNISTON Fabric Bed with Storage(Grey,Queen)",B1014Q-2/4,100659,WZ0002,"ANNISTON Fabric Bed with Storage(Grey,Queen) - SIDE RAILS",20.0,2022-3-15,2022-03-15,,0.0,NOOS,,,,,
B1014Q,"ANNISTON Fabric Bed with Storage(Grey,Queen)",B1014Q-3/4,100659,WZ0002,"ANNISTON Fabric Bed with Storage(Grey,Queen) - FOOTBOARD+SLATS",20.0,2022-3-15,2022-03-15,,0.0,NOOS,,,,,
B1014Q,"ANNISTON Fabric Bed with Storage(Grey,Queen)",B1014Q-4/4,100659,WZ0002,"ANNISTON Fabric Bed with Storage(Grey,Queen) - DRAWERS",20.0,2022-3-15,2022-03-15,,0.0,NOOS,,,,,
B1017K,"Molly Fabric Bed(Light Grey,King)",B1017K-1/3,100659,WZ0002,"Molly Fabric Bed(Light Grey,King) - HEADBOARD",25.0,2022-3-15,2022-03-15,,0.0,NOOS,,,,,
B1020K,"May Fabric Bed(Farmhouse Cream,King)",B1020K-1/3,100752,WZ0002,"May Fabric Bed(Farmhouse Cream,King) - HEADBOARD",40.0,,,,0.0,,,,,,
B1020K,"May Fabric Bed(Farmhouse Cream,King)",B1020K-2/3,100752,WZ0002,"May Fabric Bed(Farmhouse Cream,King) - SIDE RAILS",40.0,,,,0.0,,,,,,
B1020K,"May Fabric Bed(Farmhouse Cream,King)",B1020K-3/3,100752,WZ0002,"May Fabric Bed(Farmhouse Cream,King) - FOOTBOARD + SLATS",40.0,,,,0.0,,,,,,
B1020Q,"May Fabric Bed(Farmhouse Cream,Queen)",B1020Q-2/3,100752,WZ0002,"May Fabric Bed(Farmhouse Cream,Queen) - SIDE RAILS",30.0,,,,0.0,,,,,,
B1020Q,"May Fabric Bed(Farmhouse Cream,Queen)",B1020Q-3/3,100752,WZ0002,"May Fabric Bed(Farmhouse Cream,Queen) - FOOTBOARD + SLATS",30.0,,,,0.0,,,,,,
B1021K,"Maple Fabric Bed(Light Grey,King)",B1021K-1/3,100752,WZ0002,"Maple Fabric Bed(Light Grey,King) - HEADBOARD",53.0,,,,0.0,NOOS,,,,,
B1021K,"Maple Fabric Bed(Light Grey,King)",B1021K-2/3,100752,WZ0002,"Maple Fabric Bed(Light Grey,King) - SIDE RAILS",53.0,,,,0.0,NOOS,,,,,
B1021K,"Maple Fabric Bed(Light Grey,King)",B1021K-3/3,100752,WZ0002,"Maple Fabric Bed(Light Grey,King) - FOOTBOARD+SLATS",53.0,,,,0.0,NOOS,,,,,
B1022Q,"Maple Fabric Bed(Dark Blue,Queen)",B1022Q-3/3,100752,WZ0002,"Maple Fabric Bed(Dark Blue,Queen) - FOOTBOARD+SLATS",30.0,,,,0.0,,,,,,
B1023K,"Maria Fabric Bed(Light Grey,King)",B1023K-1/2,100654,WZ0002,"Maria Fabric Bed(Light Grey,King) - HEADBOARD + FOOTBOARD",20.0,,,,0.0,,,,,,
B1023K,"Maria Fabric Bed(Light Grey,King)",B1023K-2/2,100654,WZ0002,"Maria Fabric Bed(Light Grey,King) - SIDE RAILS",20.0,,,,0.0,,,,,,
B1027K,"Clara Fabric Bed(Dark Blue,King)",B1027K-1/3,100654,WZ0002,"Clara Fabric Bed(Dark Blue,King) - HEADBOARD",17.0,,,,0.0,,,,,,
B1027K,"Clara Fabric Bed(Dark Blue,King)",B1027K-2/3,100654,WZ0002,"Clara Fabric Bed(Dark Blue,King) - SIDE RAILS",17.0,,,,0.0,,,,,,
B1027K,"Clara Fabric Bed(Dark Blue,King)",B1027K-3/3,100654,WZ0002,"Clara Fabric Bed(Dark Blue,King) - FOOTBOARD + SLATS",17.0,,,,0.0,,,,,,
B1031K,"Meredith Fabric Bed(Dark Grey,King)",B1031K-1/3,100657,WZ0003,"Meredith Fabric Bed(Dark Grey,King) - HEADBOARD",44.0,2021-3-15,2022-03-10,,0.0,NOOS,,,,,
B1031K,"Meredith Fabric Bed(Dark Grey,King)",B1031K-2/3,100657,WZ0003,"Meredith Fabric Bed(Dark Grey,King) - FOOTBOARD",44.0,2021-3-15,2022-03-10,,0.0,NOOS,,,,,
B1031K,"Meredith Fabric Bed(Dark Grey,King)",B1031K-3/3,100657,WZ0003,"Meredith Fabric Bed(Dark Grey,King) - SIDE RAILS",44.0,2021-3-15,2022-03-10,,0.0,NOOS,,,,,
B1031Q,"Meredith Fabric Bed(Dark Grey,Queen)",B1031Q-1/3,100657,WZ0003,"Meredith Fabric Bed(Dark Grey,Queen) - HEADBOARD",25.0,2021-3-15,2022-03-10,,0.0,NOOS,,,,,
B1031Q,"Meredith Fabric Bed(Dark Grey,Queen)",B1031Q-2/3,100657,WZ0003,"Meredith Fabric Bed(Dark Grey,Queen) - FOOTBOARD",25.0,2021-3-15,2022-03-10,,0.0,NOOS,,,,,
B1031Q,"Meredith Fabric Bed(Dark Grey,Queen)",B1031Q-3/3,100657,WZ0003,"Meredith Fabric Bed(Dark Grey,Queen) - SIDE RAILS",25.0,2021-3-15,2022-03-10,,0.0,NOOS,,,,,
B1032K,"Meredith Fabric Bed(Velvet Dark Blue,King)",B1032K-1/3,100658,WZ0001A,"Meredith Fabric Bed(Velvet Dark Blue,King) - HEADBOARD",36.0,,,,0.0,,,,,,
