OrderID,EstimateDate,ProductID,Quantity,UnitReceived,Subcategory,Remaining after reservations including BOM units WZ0001A,Remaining after reservations including BOM units WZ0002,PreorderThreshold,ParentID
101123,2023-04-04,A0010,50,0,Decorative_Objects_and_Sculptures,2,6,2.0,
101197,2023-04-20,A0036,30,25,Wall_Art,4,1,2.0,
101197,2023-04-20,A0039,17,7,Wall_Art,7,0,2.0,
101175,2023-04-14,B1017Q-1/3,25,0,Beds,2,12,2.0,B1017Q
101175,2023-04-14,B1017Q-3/3,25,0,Beds,2,12,2.0,B1017Q
101152,2023-04-14,B1042Q-1/3,20,15,Beds,8,2,2.0,B1042Q
101152,2023-04-14,B1042Q-3/3,20,15,Beds,9,2,2.0,B1042Q
101174,2023-05-25,B1049K-2/4,35,0,Beds,6,2,2.0,B1049K
101174,2023-05-25,B1049Q-1/4,20,0,Beds,2,3,2.0,B1049Q
101174,2023-05-25,B1049Q-4/4,20,0,Beds,2,6,2.0,B1049Q
101221,2023-05-24,S1035,12,0,Sofas,45,2,2.0,
101192,2023-04-02,S1089,7,7,Loveseats,2,10,2.0,
101192,2023-04-02,S1097,8,4,Ottomans,4,0,2.0,S1181
101192,2023-04-02,S1117,8,6,Ottomans,1,2,2.0,S1185
101168,2023-05-05,S1136,10,10,Loveseats,3,1,2.0,
101220,2023-05-24,S1138,12,0,Loveseats,5,2,2.0,
101177,2023-04-15,T5122,12,10,Sideboards_and_Cabinets,4,2,2.0,
101184,2023-05-10,T5125,10,0,Consoles,7,1,2.0,
101185,2023-05-19,T5129,4,0,TV_and_Media_Units,4,1,2.0,
101202,2023-04-08,T5381-2/4,10,0,Dining_Tables,2,4,2.0,T5381
101202,2023-04-08,T5381-3/4,10,0,Dining_Tables,6,1,2.0,T5381
101202,2023-04-08,T5381-4/4,10,0,Dining_Tables,-1,6,2.0,T5381
101159,2023-04-27,T5392,150,52,Bar_and_Counter_Stools,2,18,6.0,
101209,2023-04-08,T5463,10,0,Coffee_Tables,7,1,2.0,
101176,2023-04-08,T5592,12,12,Sideboards_and_Cabinets,2,1,2.0,
101177,2023-04-15,T5593,10,0,Sideboards_and_Cabinets,5,2,2.0,
101177,2023-04-15,T5598,10,10,Sideboards_and_Cabinets,1,5,2.0,
101184,2023-05-10,T5602,12,12,Bookcases_and_Shelves,2,2,2.0,
101176,2023-04-08,T5604,6,0,Coffee_Tables,3,1,2.0,
101185,2023-05-19,T5636,4,2,Coffee_Tables,2,2,2.0,
101225,2023-06-15,T5672,50,0,Benches,2,9,2.0,
101177,2023-04-15,T5676,20,15,Sideboards_and_Cabinets,4,2,2.0,
101176,2023-04-08,T5710,25,25,Bookcases_and_Shelves,3,2,2.0,
101205,2023-05-25,T5724,54,0,Bar_and_Counter_Stools,6,49,6.0,
101216,2023-07-03,T5779-1/2,5,0,Coffee_Tables,1,6,2.0,T5779
101216,2023-07-03,T5779-2/2,5,0,Coffee_Tables,1,5,2.0,T5779
101199,2023-05-31,T5848,50,20,Benches,23,1,2.0,
101062,2023-04-06,T5956,6,6,Sideboards_and_Cabinets,1,7,2.0,
101123,2023-04-04,T6040-1/2,30,7,Coffee_Tables,4,2,2.0,T6040
101177,2023-04-15,T6092,10,10,Coffee_Tables,2,4,2.0,
101176,2023-04-08,T6134,15,15,Coffee_Tables,2,4,2.0,
101200,2023-05-31,T6154,60,0,Bar_and_Counter_Stools,0,0,6.0,
101200,2023-05-31,T6156,60,0,Bar_and_Counter_Stools,0,0,6.0,
101200,2023-05-31,T6158,60,0,Bar_and_Counter_Stools,0,0,6.0,
101200,2023-05-31,T6160,60,0,Bar_and_Counter_Stools,0,0,6.0,
101202,2023-04-08,T6208-2/2,1,0,Dining_Tables,2,22,2.0,T6208
101202,2023-04-08,X2039,17,0,Benches,1,2,2.0,T4078
101202,2023-04-08,X2039,17,0,Benches,1,2,2.0,T5055
101202,2023-04-08,X2039,17,0,Benches,1,2,2.0,T5100
101202,2023-04-08,X2039,17,0,Benches,1,2,2.0,T5111
101181,2023-07-08,X2131,10,0,Dining_Tables,0,0,2.0,T6137
101181,2023-07-08,X2131,10,0,Dining_Tables,0,0,2.0,T6142
101181,2023-07-08,X2132,27,0,Benches,0,0,2.0,T6138
101181,2023-07-08,X2132,27,0,Benches,0,0,2.0,T6143
101181,2023-07-08,X2133,12,0,Benches,0,0,2.0,T6139
101181,2023-07-08,X2133,12,0,Benches,0,0,2.0,T6144
